epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,618.52,1.18301,1.58105,0.88698,0.7837,0.59757,0.61466,0.41337,1.1307,1.42511,0.9028,0.0670114,0.000333218,0.000333218
2,1207.95,1.0913,1.32942,0.86686,0.83616,0.62411,0.65219,0.46205,1.07309,1.26402,0.85226,0.0339784,0.000633557,0.000633557
3,1790.72,1.04038,1.21951,0.84139,0.65445,0.66989,0.69283,0.5158,0.96825,1.12938,0.82577,0.000912402,0.000900896,0.000900896
4,2371.48,0.99867,1.13787,0.82745,0.87462,0.66998,0.71999,0.53718,0.96041,1.05971,0.82921,0.0008515,0.0008515,0.0008515
5,2952.63,0.96092,1.07595,0.80682,0.69869,0.70123,0.72939,0.5488,0.92838,1.03152,0.79277,0.000802,0.000802,0.000802
6,3533.28,0.92791,1.02478,0.79669,0.67376,0.78514,0.76353,0.57702,0.91939,0.97843,0.7875,0.0007525,0.0007525,0.0007525
7,4113.68,0.90856,0.9937,0.78618,0.89071,0.69432,0.75667,0.57468,0.9063,0.96337,0.78484,0.000703,0.000703,0.000703
8,4694.05,0.88606,0.95777,0.77731,0.89538,0.69727,0.77318,0.59734,0.87846,0.92177,0.76569,0.0006535,0.0006535,0.0006535
9,5274.89,0.86839,0.92958,0.76372,0.70204,0.79544,0.78142,0.60794,0.85031,0.90298,0.76744,0.000604,0.000604,0.000604
10,5855.95,0.85005,0.90166,0.76064,0.66418,0.80388,0.78896,0.61756,0.83073,0.88464,0.7659,0.0005545,0.0005545,0.0005545
11,6435.6,0.81912,0.84062,0.75702,0.71961,0.79915,0.7948,0.6198,0.8351,0.87528,0.75828,0.000505,0.000505,0.000505
12,7013.86,0.80451,0.81738,0.74317,0.71125,0.81663,0.79825,0.62931,0.8191,0.86359,0.74472,0.0004555,0.0004555,0.0004555
13,7592.5,0.78455,0.78695,0.7344,0.71322,0.81579,0.7987,0.63191,0.81991,0.85021,0.73778,0.000406,0.000406,0.000406
14,8170.8,0.76589,0.76388,0.73188,0.727,0.8215,0.80434,0.64071,0.79705,0.83106,0.75303,0.0003565,0.0003565,0.0003565
15,8750.65,0.75095,0.74006,0.72912,0.72413,0.81553,0.79835,0.63858,0.79297,0.82404,0.73903,0.000307,0.000307,0.000307
16,9329.2,0.73409,0.71451,0.72192,0.73489,0.83327,0.80934,0.64614,0.7882,0.80512,0.7394,0.0002575,0.0002575,0.0002575
17,9907.67,0.71906,0.69306,0.71516,0.72687,0.83971,0.8177,0.65581,0.77675,0.79662,0.72981,0.000208,0.000208,0.000208
18,10486,0.7028,0.67171,0.70493,0.76277,0.83182,0.81911,0.65818,0.77643,0.7903,0.73008,0.0001585,0.0001585,0.0001585
19,11064.7,0.6885,0.65097,0.69647,0.7589,0.83948,0.82591,0.66495,0.76518,0.78111,0.7269,0.000109,0.000109,0.000109
20,11643.4,0.67441,0.62878,0.69412,0.76625,0.83479,0.82784,0.66749,0.76347,0.77924,0.72426,5.95e-05,5.95e-05,5.95e-05
